Datum,Match,Spel,AI Sannolikhet,Vårt Odds,Marknadsodds,Rek. Insats (kr),Status,Netto (kr)
2026-08-22,charlotte vs dc united,Home,0.59,1.71,1.91,52.55,Vinst,47.82
2026-08-22,red bulls vs chicago fire,Away,0.53,1.89,2.25,52.55,Förlust,-52.55
2026-08-22,inter miami vs toronto,Away,0.2,5.06,7.5,38.97,Förlust,-38.97
2026-08-22,orlando city vs real salt lake,Away,0.31,3.19,3.5,20.44,Förlust,-20.44
2026-08-23,austin fc vs philadelphia union,Away,0.48,2.07,2.23,32.74,Förlust,-32.74
2026-08-23,st. louis city vs houston dynamo,Away,0.4,2.51,3.6,52.55,Vinst,136.63
2026-08-23,vancouver whitecaps vs dallas,Away,0.24,4.16,5.5,37.69,Förlust,-37.69
2026-08-23,san diego fc vs colorado rapids,Home,0.56,1.78,1.96,87.55,Vinst,84.05
2026-08-23,lafc vs portland timbers,Away,0.24,4.26,4.5,8.63,Vinst,30.21
2026-08-23,san jose vs minnesota united,Away,0.42,2.38,3.25,52.55,Förlust,-52.55
2026-08-23,austin fc vs philadelphia union,Home,0.35,2.82,2.88,6.02,Förlust,-6.02
2026-08-23,san diego fc vs colorado rapids,Away,0.32,3.17,3.3,9.1,Förlust,-9.1
2026-08-23,new england revolution vs new york city,Away,0.43,2.31,2.75,52.55,Förlust,-52.55
2026-08-22,charlotte vs dc united,Away,0.25,3.94,4.0,2.45,Förlust,-2.45
